PUMA,mgra,HHID
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,10653
7301,1380,10898
7301,1380,11479
7301,1380,11479
7301,1380,11479
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11538
7301,1380,11616
7301,1380,12206
7301,1380,12363
7301,1380,12363
7301,1380,12446
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13320
7301,1380,13553
7301,1380,13891
7301,1380,14374
7301,1380,14374
7301,1380,14374
7301,1380,14374
7301,1380,14374
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15214
7301,1380,15325
7301,1380,15358
7301,1380,15583
7301,1380,15945
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,15961
7301,1380,16035
7301,1380,16102
7301,1380,16102
7301,1380,16102
7301,1380,16722
7301,1380,17096
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17439
7301,1380,17878
7301,1380,17878
7301,1380,17878
7301,1380,17878
7301,1380,17878
7301,1380,17878
7301,1380,17878
7301,1380,18657
7301,1380,18747
7301,1380,18747
7301,1380,18747
7301,1380,18973
7301,1380,18973
7301,1380,20049
7301,1380,20106
7301,1380,20106
7301,1380,20320
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20398
7301,1380,20451
7301,1380,20547
7301,1380,20547
7301,1380,20547
7301,1380,20547
7301,1380,20978
7301,1380,20978
7301,1380,20978
7301,1380,21139
7301,1380,21268
7301,1380,21781
7301,1380,21781
7301,1380,21792
7301,1380,22373
7301,1380,22373
7301,1380,22373
7301,1380,23184
7301,1380,23184
7301,1380,23184
7301,1380,25065
7301,1380,25065
7301,1380,25065
7301,1380,25500
7301,1380,25500
7301,1380,25770
7301,1380,26322
7301,1380,26322
7301,1380,26733
7301,1380,26733
7301,1380,26766
7301,1380,26766
7301,1380,26910
7301,1380,26910
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,26921
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27397
7301,1380,27794
7301,1380,27794
7301,1380,27821
7301,1380,29118
7301,1380,29118
7301,1380,29208
7301,1380,29432
7301,1380,29432
7301,1380,31190
7301,1380,31190
7301,1380,31190
7301,1380,31190
7301,1380,31535
7301,1380,31607
7301,1380,32068
7301,1380,32677
7301,1380,33035
7301,1380,33598
7301,1380,33598
7301,1380,33598
7301,1380,33598
7301,1380,35015
7301,1380,35258
7301,1380,35570
7301,1380,35641
7301,1380,35703
7301,1380,36535
7301,1380,36917
7301,1380,36917
7301,1380,37074
7301,1380,37822
7301,1380,37822
7301,1380,37877
7301,1380,38060
7301,1380,38199
7301,1380,38221
7301,1380,38232
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38283
7301,1380,38377
7301,1380,39082
7301,1380,39082
7301,1380,39082
7301,1380,40133
7301,1380,40133
7301,1380,40250
7301,1380,40330
7301,1380,40346
7301,1380,40373
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40698
7301,1380,40739
7301,1380,40739
7301,1380,41170
7301,1380,42313
7301,1380,42313
7301,1380,42313
7301,1380,43065
7301,1380,43154
7301,1380,43154
7301,1380,43154
7301,1380,43154
7301,1380,43679
7301,1380,43679
7301,1380,43679
7301,1380,43679
7301,1380,43679
7301,1380,44304
7301,1380,44626
7301,1380,44626
7301,1380,44626
7301,1380,44626
7301,1380,44626
7301,1380,44626
7301,1380,44626
7301,1380,45421
7301,1380,45421
7301,1380,45792
7301,1380,45792
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,45888
7301,1380,47204
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
7301,1380,47356
